"name","scientificName","countryCode","decimalLongitude","decimalLatitude","key","basisOfRecord","publishingOrg","year","gbifID","taxa","acronym"
NA,"Dactylis glomerata L.","RU",85.548717,51.572988,"2543080170","HUMAN_OBSERVATION",NA,2020,"2543080170","Dactylis glomerata","DACGLO"
NA,"Dactylis glomerata L.","CA",-81.309465,42.957974,"2543083186","HUMAN_OBSERVATION",NA,2020,"2543083186","Dactylis glomerata","DACGLO"
NA,"Dactylis glomerata L.","RU",37.581099,54.17644,"2543085266","HUMAN_OBSERVATION",NA,2020,"2543085266","Dactylis glomerata","DACGLO"
NA,"Dactylis glomerata L.","NO",7.209124,62.287054,"2544031993","HUMAN_OBSERVATION",NA,2020,"2544031993","Dactylis glomerata","DACGLO"
NA,"Dactylis glomerata L.","NO",10.876451,60.714444,"2544037678","HUMAN_OBSERVATION",NA,2020,"2544037678","Dactylis glomerata","DACGLO"
NA,"Dactylis glomerata L.","NO",10.880017,59.617712,"2544040182","HUMAN_OBSERVATION",NA,2020,"2544040182","Dactylis glomerata","DACGLO"
NA,"Dactylis glomerata L.","NO",10.832946,59.310025,"2544117211","HUMAN_OBSERVATION",NA,2020,"2544117211","Dactylis glomerata","DACGLO"
NA,"Dactylis glomerata L.","NO",10.600623,59.431829,"2544148291","HUMAN_OBSERVATION",NA,2020,"2544148291","Dactylis glomerata","DACGLO"
NA,"Dactylis glomerata L.","NO",10.864692,59.645392,"2544154371","HUMAN_OBSERVATION",NA,2020,"2544154371","Dactylis glomerata","DACGLO"
NA,"Dactylis glomerata L.","NO",10.880431,59.619579,"2544178394","HUMAN_OBSERVATION",NA,2020,"2544178394","Dactylis glomerata","DACGLO"
NA,"Dactylis glomerata L.","NO",10.841426,59.60386,"2544220777","HUMAN_OBSERVATION",NA,2020,"2544220777","Dactylis glomerata","DACGLO"
NA,"Dactylis glomerata L.","NO",10.647767,59.473008,"2544269810","HUMAN_OBSERVATION",NA,2020,"2544269810","Dactylis glomerata","DACGLO"
NA,"Dactylis glomerata L.","NO",10.832928,59.309846,"2544310713","HUMAN_OBSERVATION",NA,2020,"2544310713","Dactylis glomerata","DACGLO"
NA,"Dactylis glomerata L.","SE",17.197294,59.026575,"2548568334","HUMAN_OBSERVATION",NA,2020,"2548568334","Dactylis glomerata","DACGLO"
NA,"Dactylis glomerata L.","SE",16.413253,56.575753,"2548585290","HUMAN_OBSERVATION",NA,2020,"2548585290","Dactylis glomerata","DACGLO"
NA,"Dactylis glomerata L.","SE",16.092995,58.595899,"2548596414","HUMAN_OBSERVATION",NA,2020,"2548596414","Dactylis glomerata","DACGLO"
NA,"Dactylis glomerata L.","SE",16.762024,60.626479,"2548610394","HUMAN_OBSERVATION",NA,2020,"2548610394","Dactylis glomerata","DACGLO"
NA,"Dactylis glomerata L.","SE",16.305159,58.953189,"2548635308","HUMAN_OBSERVATION",NA,2020,"2548635308","Dactylis glomerata","DACGLO"
NA,"Dactylis glomerata L.","SE",17.173614,59.065378,"2548674511","HUMAN_OBSERVATION",NA,2020,"2548674511","Dactylis glomerata","DACGLO"
NA,"Dactylis glomerata L.","SE",17.54832,59.855822,"2548689276","HUMAN_OBSERVATION",NA,2020,"2548689276","Dactylis glomerata","DACGLO"
NA,"Dactylis glomerata L.","SE",17.199719,59.067687,"2548744336","HUMAN_OBSERVATION",NA,2020,"2548744336","Dactylis glomerata","DACGLO"
NA,"Dactylis glomerata L.","SE",16.636053,59.342984,"2548747442","HUMAN_OBSERVATION",NA,2020,"2548747442","Dactylis glomerata","DACGLO"
NA,"Dactylis glomerata L.","SE",14.150002,57.744508,"2548787256","HUMAN_OBSERVATION",NA,2020,"2548787256","Dactylis glomerata","DACGLO"
NA,"Dactylis glomerata L.","SE",12.829963,56.100703,"2548844468","HUMAN_OBSERVATION",NA,2020,"2548844468","Dactylis glomerata","DACGLO"
NA,"Dactylis glomerata L.","SE",16.265382,58.966617,"2548864611","HUMAN_OBSERVATION",NA,2020,"2548864611","Dactylis glomerata","DACGLO"
NA,"Dactylis glomerata L.","SE",17.274711,59.054612,"2548872666","HUMAN_OBSERVATION",NA,2020,"2548872666","Dactylis glomerata","DACGLO"
NA,"Dactylis glomerata L.","SE",17.61696,59.838477,"2548878548","HUMAN_OBSERVATION",NA,2020,"2548878548","Dactylis glomerata","DACGLO"
NA,"Dactylis glomerata L.","SE",18.377986,57.278757,"2548899616","HUMAN_OBSERVATION",NA,2020,"2548899616","Dactylis glomerata","DACGLO"
NA,"Dactylis glomerata L.","SE",17.66484,59.80619,"2548904535","HUMAN_OBSERVATION",NA,2020,"2548904535","Dactylis glomerata","DACGLO"
NA,"Dactylis glomerata L.","SE",11.930795,57.680548,"2548918470","HUMAN_OBSERVATION",NA,2020,"2548918470","Dactylis glomerata","DACGLO"
NA,"Dactylis glomerata L.","SE",12.853553,56.648209,"2548924539","HUMAN_OBSERVATION",NA,2020,"2548924539","Dactylis glomerata","DACGLO"
NA,"Dactylis glomerata L.","SE",12.029026,57.869479,"2548932769","HUMAN_OBSERVATION",NA,2020,"2548932769","Dactylis glomerata","DACGLO"
NA,"Dactylis glomerata L.","SE",11.938125,57.687449,"2548953491","HUMAN_OBSERVATION",NA,2020,"2548953491","Dactylis glomerata","DACGLO"
NA,"Dactylis glomerata L.","SE",16.50843,56.644727,"2548991602","HUMAN_OBSERVATION",NA,2020,"2548991602","Dactylis glomerata","DACGLO"
NA,"Dactylis glomerata L.","SE",16.641183,56.708828,"2549019553","HUMAN_OBSERVATION",NA,2020,"2549019553","Dactylis glomerata","DACGLO"
NA,"Dactylis glomerata L.","SE",17.949597,59.22444,"2549046553","HUMAN_OBSERVATION",NA,2020,"2549046553","Dactylis glomerata","DACGLO"
NA,"Dactylis glomerata L.","NO",10.254035,60.080786,"2549608771","HUMAN_OBSERVATION",NA,2020,"2549608771","Dactylis glomerata","DACGLO"
NA,"Dactylis glomerata L.","NO",10.812832,59.625711,"2549618849","HUMAN_OBSERVATION",NA,2020,"2549618849","Dactylis glomerata","DACGLO"
NA,"Dactylis glomerata L.","NO",10.845837,59.651761,"2549619042","HUMAN_OBSERVATION",NA,2020,"2549619042","Dactylis glomerata","DACGLO"
NA,"Dactylis glomerata L.","NO",10.820639,59.62031,"2549732326","HUMAN_OBSERVATION",NA,2020,"2549732326","Dactylis glomerata","DACGLO"
NA,"Dactylis glomerata L.","NO",10.144522,59.758026,"2549758327","HUMAN_OBSERVATION",NA,2020,"2549758327","Dactylis glomerata","DACGLO"
